13|	Be		2.7 x 10-21|s|18	2.7E-21|1.8E-21	n	?			17097|10#	-9700|50#	-23320|70#	12218|10#	-510|10#	22640|30#	5241.4|8#	13036135|11#	33659|10#	1983
4		9																
14|	Be		4.35 ms|17	4.35E-3|1.7E-4	?-	100			16290|130#	-11670|160#	#	15320|130#	1780|130#	24320|150#	4994|9#	14042890|140#	39950|130#	1973
4		10			?- n	81|4												
					?- 2n	5|2												
					?- ?	0.004|LT												
15|	Be		0.58 MeV|20	7.86E-22|2.71E-22	n	? 100			20870|170#		#	18090|170#	-1800|100#		4541|11#	15053490|180#	49830|170#	
4		11																
16|	Be		0.8 MeV|2	5.7E-22|1.42E-22	n	? 100			20330|170#		#	20420|170#	450|140#		4285|10#	16061670|180#	57450|170#	2012
4		12																
7|	B		801 keV|20	6E-22	p	? 100				-3410|2000#	11908|25		27710|2000#	-2013|26	3559|4	7029712|27	27677|25	1967
5		2																
8|	B		770 ms|3	7.7E-1|3E-3	ec ?+	100	1.0355 3	0.0683 21	-12143|18	-4830|210	17979.9|10		12826|25	136.4|10	4717.15|12	8024607.3|11	22921.6|10	1950
5		3			?+ ?	100												
9|	B		0.54 keV|21	8.44E-19|3.28E-19	p	100			-16494.5|23	-1690|50	1068.0|9	-30719|18	18576.4|13	-185.8|9	6257.07|10	9013329.6|10	12416.5|9	1940
5		4																
10|	B		STABLE|				+1.80064478 6	+0.08472 56	-3648.06|7#	-4461.19|1#	-556.88|8#	-24931.7|21#	8437.2|9#	6586.81|8#	6475.083|2#	10012936.862|16#	12050.609|15#	1920
5		5	19.9 %|7															
11|	B		STABLE|				+2.6886489 10	0.04065 26	-1981.69|6#	-8664.31|1#	-11509.46|23#	-15102.28|7#	11454.22|2#	11228.75|8#	6927.732|1#	11009305.166|13#	8667.707|12#	1920
5		6	80.1 %|7															
12|	B		20.20 ms|2	2.02E-2|2E-5	?-	100	+1.00306 15	0.0134 14	13369.4|13#	-10001.3|13#	-11708.4|23#	-5351.3|13#	3369.6|13#	14096.7|13#	6631.22|11#	12014352.6|14#	13369.4|13#	1935
5		7																
13|	B		17.33 ms|17	1.73E-2|1.7E-4	?-	100	+3.1778 5	0.037 4	13436.9|10#	-10817.9|10#	-17097|10#	8490.6|10#	4878.8|17#	15804.8|21#	6496.42|8#	13017780.0|11#	16561.9|10#	1956
5		8			?- n	0.286|37												
14|	B		12.5 ms|5	1.25E-2|5E-4	?-	100			20644|21#	-11814|25#	-16290|130#	12467|21#	970|21#	17284|24#	6101.6|15#	14025404|23#	23664|21#	1966
5		9			?- n	6.1|3												
15|	B		9.93 ms|7	9.93E-3|7E-5	?-	100			19085|21#	-14195|21#	-20870|170#	17867|21#	2780|30#	18290|130#	5880.0|14#	15031088|23#	28958|21#	1966
5		10			?- n	99.68|8												
16|	B		< 100 keV	4.6E-21	n	100			23418|25#	-14320|40#	-20330|170#	19168|25#	-83|15#	20000|170#	5507.3|15#	16039842|26#	37113|25#	2000
5		11																
17|	B		5.08 ms|5	5.08E-3|5E-5	?-	100			22680|200#	-15690|220#	#	21950|200#	1470|210#	21020|260#	5270|12#	17046930|220#	43720|200#	1973
5		12			?- n	63|1												
					?- 2n	11|7												
					?- 3n	3.5|7												
					?- 4n	0.4|3												
18|	B				n	100			26870|210			22690|200	-5|5		4977|11	18055600|220	51790|200	2010
5		13																
8|	C		230 keV|50	2E-21|4E-22	p	100					12143|18			-100|30	3101.5|23	8037643|20	35064|18	1974
6		2			?	?												
9|	C		126.5 ms|9	1.27E-1|9E-4	ec ?+	100	-1.3914 5			-10650|2000#	16494.5|23		14225|18	1299.6|24	4337.42|24	9031037.2|23	28911.0|21	1964
6		3			?+ p	61.6												
					?+ ?	38.4												
10|	C		19.290 s|12	1.93E1|1.2E-2	ec ?+	100			-23100|400#	-5101|5#	3648.06|7#		21283.6|21#	4006.8|9#	6032.042|7#	10016853.22|7#	15698.67|7#	1949
6		4																
11|	C		20.364 min|14	1.22E3|8.4E-1	ec ?+	100	-0.964 1	0.03426	-13650|50#	-7544.52|9#	1981.69|6#	-36220|400#	13120.59|9#	8690.18|6#	6676.456|5#	11011432.60|6#	10649.40|6#	1934
6		5																
12|	C		STABLE|						-17338.1|10#	-7366.59|4#	-13369.4|13#	-32370|50#	18720.71|6#	15956.68|1#	7680.144|0#	12000000.0|0#	0.0|0#	1919
6		6	98.93 %|8															
