4,2,Be,,,0,0,0+,,92,6,KEV,5e-21,3e-22,2P,100,0,A,100,0,,,,= 1,,,,,-28945,2003,,,,,4288.154,5,26835,2003,592.82,50,4487.247,908,6019726.409,5848,18375.033,5448,
4,3,Be,2.6460,160,0,0,3/2-,,53.22,6,D,4598208,5184,EC,100,0,,,,,,,= 1/2,,,,,-11907.551,25150,-39622,2003,-1587.13,7,861.894,71,10677.35,5,5606.85,7,5371.548,10,7016928.717,76,15768.999,71,
4,4,Be,,,0,0,0+,,5.57,25,EV,8.18e-17,3.672e-18,A,100,0,,,,,,,= 0,,,,,-17979.896,1000,-30806.20,25,91.84,4,-16004.133,59,18898.64,8,17254.40,4,7062.435,4,8005305.102,37,4941.671,35,
4,5,Be,2.5190,120,0,0,3/2-,,STABLE,,,,,,,,,,,,,,= 1/2,-1.1778,,0.05288,,-1068.035,899,-19644.43,100,-2307.7,20,-13606.449,201,1664.54,8,16886.32,9,6462.668,9,9012183.066,82,11348.453,77,
4,6,Be,2.3550,170,0,0,0+,,1.51E+6,4,Y,47651976000000,1262304000000,B-,100,0,,,,,,,= 1,,,,,556.878,82,-7880.32,90,-7409.52,10,-20445.136,13,6812.28,5,19636.39,20,6497.63,8,10013534.695,86,12607.488,81,
4,7,Be,2.4630,150,0,0,1/2+,,13.76,7,S,13.76,0.07,B-,100,0,B-A,3.1,,B-P,0.00083,,= 3/2,-1.6814,,,,11509.46,238,55.24,24,-8320.87,8,-20551.087,659,501.64,25,20164.43,13,5952.54,22,11021661.081,255,20177.167,238,
4,8,Be,,0,0,0,0+,,21.3,1,MS,0.0213,0.0001,B-,100,0,B-N,1,0,,,,= 2,,,,,11708.363,2321,8338.74,191,-8956.84,191,-23931.811,30,3170.72,192,22939.47,200,5720.722,159,12026922.083,2048,25077.760,1909,
4,9,Be,,,0,0,(1/2-),,2.7E-21,18,S,2.7e-21,1.8e-21,N,,0,,,,,,,,,,,,17097.13,10230,12218.36,10,-9701.66,48,-23321.811,71,-510.00,10,22639.47,32,5241.435,783,13036134.507,10929,33659.077,10180,
4,10,Be,,,0,0,,,4.35,17,MS,0.00435,0.00017,B-,100,0,B-N,81,4,B-2N,5,2,,,,,,16290.813,133936,15321.23,132,-11667.56,162,,,1775.90,133,24315.36,150,4993.897,9446,14042892.92,141970,39954.498,132245,
4,11,Be,,,0,0,(5/2+),,0.58,20,MEV,7.857e-22,2.70927e-22,N,100,0,,,,,,,,,,,,20867.573,167126,18090.81,167,,,,,-1800.00,100,,,4540.97,11053,15053490.215,177990,49825.815,165797,
4,12,Be,,,0,0,0+,,0.8,2,MEV,5.696e-22,1.4241e-22,N,100,0,,,,,,,,,,,,20334.623,167608,20417.57,167,,,,,450.00,141,,,4285.285,10362,16061672.036,177990,57447.132,165797,
5,2,B,,,0,0,(3/2-),,801,20,KEV,6e-22,0,P,100,0,,,,,,,= 3/2,,,,,,,,,-3415,2000,11907.551,25,27715,2003,-2012.55,26,3558.705,3593,7029712,27000,27676.550,25150,
5,3,B,,,0,0,2+,,770,3,MS,0.77,0.003,EC+B+,100,0,B+A,100,0,,,,= 1,1.0355,,0.0683,,-12142.701,18270,,,-4826.54,212,17979.896,1000,12826.30,25,136.40,100,4717.155,125,8024607.316,1073,22921.567,1000,
5,4,B,,,0,0,3/2-,,0.54,21,KEV,8.439e-19,3.28179e-19,P,100,0,,,,,,,= 1/2,,,,,-16494.484,2319,-30719.10,18,-1687.31,50,1068.035,906,18576.40,135,-185.85,90,6257.07,100,9013329.649,969,12416.488,903,
5,5,B,2.4277,499,0,0,3+,,STABLE,,,,,,,,,,,,,,= 0,1.80064478,,0.08472,,-3648.062,69,-24931.68,214,-4461.19,1,-556.879,82,8437.20,90,6586.81,8,6475.083,2,10012936.862,16,12050.609,15,
5,6,B,2.4060,294,0,0,3/2-,,STABLE,,,,,,,,,,,,,,= 1/2,2.6886489,,0.04065,,-1981.689,61,-15102.28,7,-8664.31,1,-11509.46,23,11454.22,2,11228.75,8,6927.732,1,11009305.166,13,8667.707,12,
5,7,B,,,0,0,1+,,20.20,2,MS,0.0202,0.00002,B-,100,0,,,,,,,= 1,1.00306,,0.0134,,13369.397,1321,-5351.32,132,-10001.32,132,-11708.363,2321,3369.63,132,14096.74,134,6631.223,110,12014352.638,1418,13369.397,1321,
5,8,B,,,0,0,3/2-,,17.33,17,MS,0.01733,0.00017,B-,100,0,B-N,0.286,,,,,= 3/2,3.1778,,0.037,,13436.938,1000,8490.63,100,-10817.87,102,-17097.13,10,4878.77,166,15804.78,215,6496.419,77,13017779.981,1073,16561.947,1000,
5,9,B,,,0,0,2-,,12.5,5,MS,0.0125,0.0005,B-,100,0,B-N,6.1,,,,,= 2,,,,,20643.792,21213,12467.36,21,-11813.85,25,-16290.813,134,969.58,21,17284.36,24,6101.644,1515,14025404.012,22773,23663.685,21213,
5,10,B,,,0,0,,,9.93,7,MS,0.00993,0.00007,B-,100,0,B-N,99.68,,,,,,,,,,19085.098,21047,17867.03,21,-14194.93,21,-20867.573,167,2776.76,30,18285.23,134,5879.985,1402,15031087.953,22578,28958.242,21032,
5,11,B,,,0,0,,LT,100,,KEV,4.6e-21,,N,100,0,,,,,,,,,,,,23418.378,24828,19168.05,25,-14321.98,39,-20334.622,168,-82.95,15,20002.28,168,5507.302,1536,16039841.92,26375,37112.510,24569,
5,12,B,,,0,0,(3/2-),,5.08,5,MS,0.00508,0.00005,B-,100,0,B-N,63,1,B-2N,11,7,,,,,,22684.419,204841,21950.87,204,-15689.49,216,,,1467.51,206,21019.79,263,5269.667,12006,17046931.399,219114,43716.317,204104,
5,13,B,,,0,0,(2-),,,,,,,N,100,0,,,,,,,,,,,,26873.37,206357,22689.42,205,,,,,-5.00,5,,,4976.63,11342,18055601.682,219180,51792.634,204165,
6,2,C,,,0,0,0+,,230,50,KEV,2e-21,4e-22,P,100,0,A,,0,,,,= 2,,,,,,,,,,,12142.701,18,,,-98.75,31,3101.524,2280,8037643.042,19584,35064.268,18243,
